,movieId,title
212,393,Street Fighter (1994)
213,406,Federal Hill (1994)
214,408,8 Seconds (1994)
215,409,Above the Rim (1994)
216,412,"Age of Innocence, The (1993)"
217,418,Being Human (1993)
218,421,Black Beauty (1994)
219,424,Blue Chips (1994)
220,425,Blue Sky (1994)
221,427,Boxing Helena (1993)
222,428,"Bronx Tale, A (1993)"
223,430,Calendar Girl (1993)
224,431,Carlito's Way (1993)
225,432,City Slickers II: The Legend of Curly's Gold (1994)
226,434,Cliffhanger (1993)
227,436,Color of Night (1994)
228,438,"Cowboy Way, The (1994)"
229,442,Demolition Man (1993)
230,446,Farewell My Concubine (Ba wang bie ji) (1993)
231,448,Fearless (1993)
232,450,With Honors (1994)
233,451,Flesh and Bone (1993)
234,452,Widows' Peak (1994)
235,454,"Firm, The (1993)"
236,455,Free Willy (1993)
237,456,Fresh (1994)
238,458,Geronimo: An American Legend (1993)
239,459,"Getaway, The (1994)"
240,461,Go Fish (1994)
241,464,Hard Target (1993)
242,469,"House of the Spirits, The (1993)"
243,472,I'll Do Anything (1994)
244,475,In the Name of the Father (1993)
245,476,"Inkwell, The (1994)"
246,477,What's Love Got to Do with It? (1993)
247,478,Jimmy Hollywood (1994)
248,480,Jurassic Park (1993)
249,481,Kalifornia (1993)
250,482,Killing Zoe (1994)
251,484,Lassie (1994)
252,485,Last Action Hero (1993)
253,488,M. Butterfly (1993)
254,491,"Man Without a Face, The (1993)"
255,493,Menace II Society (1993)
256,494,Executive Decision (1996)
257,495,In the Realm of the Senses (Ai no corrida) (1976)
258,496,What Happened Was... (1994)
259,500,Mrs. Doubtfire (1993)
260,501,Naked (1993)
261,504,No Escape (1994)
262,506,Orlando (1992)
263,507,"Perfect World, A (1993)"
264,508,Philadelphia (1993)
265,509,"Piano, The (1993)"
266,510,Poetic Justice (1993)
267,511,"Program, The (1993)"
268,515,"Remains of the Day, The (1993)"
269,516,Renaissance Man (1994)
270,517,Rising Sun (1993)
271,519,RoboCop 3 (1993)
272,522,Romper Stomper (1992)
273,523,Ruby in Paradise (1993)
274,524,Rudy (1993)
275,526,"Savage Nights (Nuits fauves, Les) (1992)"
276,527,Schindler's List (1993)
277,528,"Scout, The (1994)"
278,529,Searching for Bobby Fischer (1993)
279,531,"Secret Garden, The (1993)"
280,533,"Shadow, The (1994)"
281,534,Shadowlands (1993)
282,535,Short Cuts (1993)
283,536,"Simple Twist of Fate, A (1994)"
284,537,Sirens (1994)
285,538,Six Degrees of Separation (1993)
286,539,Sleepless in Seattle (1993)
287,542,Son in Law (1993)
288,546,Super Mario Bros. (1993)
289,547,Surviving the Game (1994)
290,549,Thirty-Two Short Films About Glenn Gould (1993)
291,552,"Three Musketeers, The (1993)"
292,553,Tombstone (1993)
293,558,"Pagemaster, The (1994)"
294,562,Welcome to the Dollhouse (1995)
295,563,Germinal (1993)
296,567,Kika (1993)
297,568,Bhaji on the Beach (1993)
298,569,Little Big League (1994)
299,573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)"
300,574,Spanking the Monkey (1994)
301,577,Andre (1994)
302,580,Princess Caraboo (1994)
303,583,Dear Diary (Caro Diario) (1994)
304,587,Ghost (1990)
305,588,Aladdin (1992)
306,590,Dances with Wolves (1990)
307,594,Snow White and the Seven Dwarfs (1937)
308,595,Beauty and the Beast (1991)
309,599,"Wild Bunch, The (1969)"
310,605,One Fine Day (1996)
311,608,Fargo (1996)
312,609,Homeward Bound II: Lost in San Francisco (1996)
313,610,Heavy Metal (1981)
314,613,Jane Eyre (1996)
315,615,Bread and Chocolate (Pane e cioccolata) (1973)
316,617,"Flower of My Secret, The (La flor de mi secreto) (1995)"
317,627,"Last Supper, The (1995)"
318,628,Primal Fear (1996)
319,631,All Dogs Go to Heaven 2 (1996)
320,632,Land and Freedom (Tierra y libertad) (1995)
321,635,"Family Thing, A (1996)"
322,636,Frisk (1995)
323,639,Girl 6 (1996)
324,640,Diabolique (1996)
325,645,Nelly & Monsieur Arnaud (1995)
326,647,Courage Under Fire (1996)
327,648,Mission: Impossible (1996)
328,649,Cold Fever (Á köldum klaka) (1995)
329,650,Moll Flanders (1996)
330,653,Dragonheart (1996)
331,661,James and the Giant Peach (1996)
332,665,Underground (1995)
333,668,Song of the Little Road (Pather Panchali) (1955)
334,670,"World of Apu, The (Apur Sansar) (1959)"
335,673,Space Jam (1996)
336,674,Barbarella (1968)
337,678,Some Folks Call It a Sling Blade (1993)
338,679,"Run of the Country, The (1995)"
339,680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
340,685,It's My Party (1996)
341,688,Operation Dumbo Drop (1995)
342,694,"Substitute, The (1996)"
343,697,Feeling Minnesota (1996)
344,698,Delta of Venus (1995)
345,703,Boys (1996)
346,704,"Quest, The (1996)"
347,706,Sunset Park (1996)
348,707,Mulholland Falls (1996)
349,709,Oliver & Company (1988)
350,711,Flipper (1996)
351,714,Dead Man (1995)
352,715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
353,720,Wallace & Gromit: The Best of Aardman Animation (1996)
354,724,"Craft, The (1996)"
355,726,Last Dance (1996)
356,733,"Rock, The (1996)"
357,736,Twister (1996)
358,757,Ashes of Time (Dung che sai duk) (1994)
359,760,Stalingrad (1993)
360,761,"Phantom, The (1996)"
361,764,Heavy (1995)
362,765,Jack (1996)
363,766,I Shot Andy Warhol (1996)
364,773,Touki Bouki (1973)
365,778,Trainspotting (1996)
366,779,'Til There Was You (1997)
367,780,Independence Day (a.k.a. ID4) (1996)
368,781,Stealing Beauty (1996)
369,782,"Fan, The (1996)"
370,783,"Hunchback of Notre Dame, The (1996)"
371,786,Eraser (1996)
372,790,"Unforgettable Summer, An (Un été inoubliable) (1994)"
373,795,Somebody to Love (1994)
374,798,Daylight (1996)
375,800,Lone Star (1996)
376,802,Phenomenon (1996)
377,803,Walking and Talking (1996)
378,805,"Time to Kill, A (1996)"
379,808,Alaska (1996)
380,809,Fled (1996)
381,823,"Collector, The (La collectionneuse) (1967)"
382,824,Kaspar Hauser (1993)
383,828,"Adventures of Pinocchio, The (1996)"
384,835,Foxfire (1996)
385,836,Chain Reaction (1996)
386,838,Emma (1996)
387,848,"Spitfire Grill, The (1996)"
388,849,Escape from L.A. (1996)
389,851,Basquiat (1996)
390,852,Tin Cup (1996)
391,858,"Godfather, The (1972)"
392,866,Bound (1996)
393,869,Kansas City (1996)
394,875,Nothing to Lose (1994)
395,882,"Trigger Effect, The (1996)"
396,885,Bogus (1996)
397,888,Land Before Time III: The Time of the Great Giving (1995)
398,889,1-900 (06) (1994)
399,892,Twelfth Night (1996)
400,893,Mother Night (1996)
401,896,Wild Reeds (Les roseaux sauvages) (1994)
402,897,For Whom the Bell Tolls (1943)
403,898,"Philadelphia Story, The (1940)"
404,902,Breakfast at Tiffany's (1961)
405,903,Vertigo (1958)
406,906,Gaslight (1944)
407,908,North by Northwest (1959)
408,909,"Apartment, The (1960)"
409,912,Casablanca (1942)
410,914,My Fair Lady (1964)
411,916,Roman Holiday (1953)
412,917,"Little Princess, The (1939)"
413,919,"Wizard of Oz, The (1939)"
414,920,Gone with the Wind (1939)
415,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
416,923,Citizen Kane (1941)
417,924,2001: A Space Odyssey (1968)
418,926,All About Eve (1950)
419,928,Rebecca (1940)
420,929,Foreign Correspondent (1940)
421,932,"Affair to Remember, An (1957)"
422,940,"Adventures of Robin Hood, The (1938)"
423,941,"Mark of Zorro, The (1940)"
424,943,"Ghost and Mrs. Muir, The (1947)"
425,944,Lost Horizon (1937)
426,946,To Be or Not to Be (1942)
427,948,Giant (1956)
428,949,East of Eden (1955)
429,952,Around the World in 80 Days (1956)
430,953,It's a Wonderful Life (1946)
431,954,Mr. Smith Goes to Washington (1939)
432,956,Penny Serenade (1941)
433,959,Of Human Bondage (1934)
434,961,Little Lord Fauntleroy (1936)
435,965,"39 Steps, The (1935)"
436,969,"African Queen, The (1951)"
437,970,Beat the Devil (1953)
438,971,Cat on a Hot Tin Roof (1958)
439,973,Meet John Doe (1941)
440,979,Nothing Personal (1995)
441,981,Dangerous Ground (1997)
442,982,Picnic (1955)
443,984,"Pompatus of Love, The (1996)"
444,986,Fly Away Home (1996)
445,987,Bliss (1997)
446,988,Grace of My Heart (1996)
447,990,Maximum Risk (1996)
448,991,Michael Collins (1996)
449,993,Infinity (1996)
450,994,Big Night (1996)
451,996,Last Man Standing (1996)
452,1003,Extreme Measures (1996)
453,1006,"Chamber, The (1996)"
454,1008,"Davy Crockett, King of the Wild Frontier (1955)"
455,1009,Escape to Witch Mountain (1975)
456,1012,Old Yeller (1957)
457,1014,Pollyanna (1960)
458,1015,Homeward Bound: The Incredible Journey (1993)
459,1017,Swiss Family Robinson (1960)
460,1019,"20,000 Leagues Under the Sea (1954)"
461,1027,Robin Hood: Prince of Thieves (1991)
462,1029,Dumbo (1941)
463,1030,Pete's Dragon (1977)
464,1031,Bedknobs and Broomsticks (1971)
465,1032,Alice in Wonderland (1951)
466,1033,"Fox and the Hound, The (1981)"
467,1034,Freeway (1996)
468,1040,"Secret Agent, The (1996)"
469,1041,Secrets & Lies (1996)
470,1042,That Thing You Do! (1996)
471,1043,To Gillian on Her 37th Birthday (1996)
472,1046,Beautiful Thing (1996)
473,1047,"Long Kiss Goodnight, The (1996)"
474,1049,"Ghost and the Darkness, The (1996)"
475,1050,Looking for Richard (1996)
476,1051,Trees Lounge (1996)
477,1053,Normal Life (1996)
478,1054,Get on the Bus (1996)
479,1056,Jude (1996)
480,1059,William Shakespeare's Romeo + Juliet (1996)
481,1060,Swingers (1996)
482,1082,"Candidate, The (1972)"
483,1084,Bonnie and Clyde (1967)
484,1085,"Old Man and the Sea, The (1958)"
485,1088,Dirty Dancing (1987)
486,1090,Platoon (1986)
487,1093,"Doors, The (1991)"
488,1094,"Crying Game, The (1992)"
489,1095,Glengarry Glen Ross (1992)
490,1096,Sophie's Choice (1982)
491,1097,E.T. the Extra-Terrestrial (1982)
492,1099,"Christmas Carol, A (1938)"
493,1100,Days of Thunder (1990)
494,1103,Rebel Without a Cause (1955)
495,1104,"Streetcar Named Desire, A (1951)"
496,1112,Palookaville (1996)
497,1114,"Funeral, The (1996)"
498,1116,"Single Girl, A (Fille seule, La) (1995)"
499,1117,"Eighth Day, The (Huitième jour, Le) (1996)"
500,1119,Drunks (1995)
501,1120,"People vs. Larry Flynt, The (1996)"
502,1121,Glory Daze (1995)
503,1124,On Golden Pond (1981)
504,1127,"Abyss, The (1989)"
505,1129,Escape from New York (1981)
506,1131,Jean de Florette (1986)
507,1132,Manon of the Spring (Manon des sources) (1986)
508,1136,Monty Python and the Holy Grail (1975)
509,1140,Entertaining Angels: The Dorothy Day Story (1996)
510,1150,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)"
511,1151,Lesson Faust (1994)
512,1156,"Children Are Watching Us, The (Bambini ci guardano, I) (1944)"
513,1161,"Tin Drum, The (Blechtrommel, Die) (1979)"
514,1162,"Ruling Class, The (1972)"
515,1163,Mina Tannenbaum (1994)
516,1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989)
517,1173,"Cook the Thief His Wife & Her Lover, The (1989)"
518,1175,Delicatessen (1991)
519,1176,"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)"
520,1177,Enchanted April (1992)
521,1178,Paths of Glory (1957)
522,1179,"Grifters, The (1990)"
523,1183,"English Patient, The (1996)"
524,1184,Mediterraneo (1991)
525,1185,My Left Foot (1989)
526,1186,"Sex, Lies, and Videotape (1989)"
527,1187,Passion Fish (1992)
528,1190,Tie Me Up! Tie Me Down! (¡Átame!) (1990)
529,1193,One Flew Over the Cuckoo's Nest (1975)
530,1196,Star Wars: Episode V - The Empire Strikes Back (1980)
531,1197,"Princess Bride, The (1987)"
532,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
533,1200,Aliens (1986)
534,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
535,1203,12 Angry Men (1957)
536,1204,Lawrence of Arabia (1962)
537,1206,"Clockwork Orange, A (1971)"
538,1207,To Kill a Mockingbird (1962)
539,1208,Apocalypse Now (1979)
540,1209,Once Upon a Time in the West (C'era una volta il West) (1968)
541,1210,Star Wars: Episode VI - Return of the Jedi (1983)
542,1211,"Wings of Desire (Himmel über Berlin, Der) (1987)"
543,1213,Goodfellas (1990)
544,1215,Army of Darkness (1993)
545,1216,"Big Blue, The (Grand bleu, Le) (1988)"
546,1217,Ran (1985)
547,1218,"Killer, The (Die xue shuang xiong) (1989)"
548,1221,"Godfather: Part II, The (1974)"
549,1222,Full Metal Jacket (1987)
550,1223,"Grand Day Out with Wallace and Gromit, A (1989)"
551,1224,Henry V (1989)
552,1225,Amadeus (1984)
553,1226,"Quiet Man, The (1952)"
554,1227,Once Upon a Time in America (1984)
555,1228,Raging Bull (1980)
556,1231,"Right Stuff, The (1983)"
557,1232,Stalker (1979)
558,1233,"Boot, Das (Boat, The) (1981)"
559,1235,Harold and Maude (1971)
560,1236,Trust (1990)
561,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
562,1242,Glory (1989)
563,1243,Rosencrantz and Guildenstern Are Dead (1990)
564,1244,Manhattan (1979)
565,1245,Miller's Crossing (1990)
566,1246,Dead Poets Society (1989)
567,1247,"Graduate, The (1967)"
568,1250,"Bridge on the River Kwai, The (1957)"
569,1251,8 1/2 (8½) (1963)
570,1253,"Day the Earth Stood Still, The (1951)"
571,1254,"Treasure of the Sierra Madre, The (1948)"
572,1259,Stand by Me (1986)
573,1262,"Great Escape, The (1963)"
574,1263,"Deer Hunter, The (1978)"
575,1264,Diva (1981)
576,1266,Unforgiven (1992)
577,1268,Pump Up the Volume (1990)
578,1270,Back to the Future (1985)
579,1271,Fried Green Tomatoes (1991)
580,1272,Patton (1970)
581,1273,Down by Law (1986)
582,1274,Akira (1988)
583,1275,Highlander (1986)
584,1276,Cool Hand Luke (1967)
585,1277,Cyrano de Bergerac (1990)
586,1279,Night on Earth (1991)
587,1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991)
588,1281,"Great Dictator, The (1940)"
589,1283,High Noon (1952)
590,1286,Somewhere in Time (1980)
591,1287,Ben-Hur (1959)
592,1290,Some Kind of Wonderful (1987)
593,1291,Indiana Jones and the Last Crusade (1989)
594,1292,Being There (1979)
595,1293,Gandhi (1982)
596,1295,"Unbearable Lightness of Being, The (1988)"
597,1296,"Room with a View, A (1986)"
598,1298,Pink Floyd: The Wall (1982)
599,1299,"Killing Fields, The (1984)"
600,1300,My Life as a Dog (Mitt liv som hund) (1985)
601,1301,Forbidden Planet (1956)
602,1302,Field of Dreams (1989)
603,1303,"Man Who Would Be King, The (1975)"
604,1305,"Paris, Texas (1984)"
605,1306,Until the End of the World (Bis ans Ende der Welt) (1991)
606,1312,Female Perversions (1996)
607,1318,Blue Juice (1995)
608,1327,"Amityville Horror, The (1979)"
609,1337,"Body Snatcher, The (1945)"
610,1340,"Bride of Frankenstein, The (Bride of Frankenstein) (1935)"
611,1344,Cape Fear (1962)
612,1345,Carrie (1976)
613,1346,Cat People (1982)
614,1351,Blood and Wine (Blood & Wine) (1996)
615,1353,"Mirror Has Two Faces, The (1996)"
616,1354,Breaking the Waves (1996)
617,1356,Star Trek: First Contact (1996)
618,1357,Shine (1996)
619,1358,Sling Blade (1996)
620,1363,"Preacher's Wife, The (1996)"
621,1365,Ridicule (1996)
622,1366,"Crucible, The (1996)"
623,1367,101 Dalmatians (1996)
624,1370,Die Hard 2 (1990)
625,1371,Star Trek: The Motion Picture (1979)
626,1374,Star Trek II: The Wrath of Khan (1982)
627,1375,Star Trek III: The Search for Spock (1984)
628,1376,Star Trek IV: The Voyage Home (1986)
629,1382,Marked for Death (1990)
630,1385,Under Siege (1992)
631,1392,Citizen Ruth (1996)
632,1393,Jerry Maguire (1996)
633,1395,Tin Men (1987)
634,1396,Sneakers (1992)
635,1397,Bastard Out of Carolina (1996)
636,1399,Marvin's Room (1996)
637,1401,Ghosts of Mississippi (1996)
638,1405,Beavis and Butt-Head Do America (1996)
639,1406,La Cérémonie (1995)
640,1409,Michael (1996)
641,1411,Hamlet (1996)
642,1412,Some Mother's Son (1996)
643,1413,"Whole Wide World, The (1996)"
644,1415,"Thieves (Voleurs, Les) (1996)"
645,1416,Evita (1996)
646,1417,"Portrait of a Lady, The (1996)"
647,1419,Walkabout (1971)
648,1422,Murder at 1600 (1997)
649,1423,Hearts and Minds (1996)
650,1428,Angel Baby (1995)
651,1429,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996)
652,1432,Metro (1997)
653,1437,"Cement Garden, The (1993)"
654,1442,Prefontaine (1997)
655,1446,Kolya (Kolja) (1996)
656,1454,SubUrbia (1997)
657,1457,Fools Rush In (1997)
658,1458,Touch (1997)
659,1464,Lost Highway (1997)
660,1465,Rosewood (1997)
661,1466,Donnie Brasco (1997)
662,1473,Best Men (1997)
663,1476,Private Parts (1997)
664,1480,Smilla's Sense of Snow (1997)
665,1483,Crash (1996)
666,1484,"Daytrippers, The (1996)"
667,1487,Selena (1997)
668,1488,"Devil's Own, The (1997)"
669,1495,Turbo: A Power Rangers Movie (1997)
670,1496,Anna Karenina (1997)
671,1498,Inventing the Abbotts (1997)
672,1499,Anaconda (1997)
673,1502,Kissed (1996)
674,1507,Paradise Road (1997)
675,1515,Volcano (1997)
676,1517,Austin Powers: International Man of Mystery (1997)
677,1519,Broken English (1996)
678,1527,"Fifth Element, The (1997)"
679,1529,Nowhere (1997)
680,1533,"Promise, The (La promesse) (1996)"
681,1537,Shall We Dance? (Shall We Dansu?) (1996)
682,1542,Brassed Off (1996)
683,1544,"Lost World: Jurassic Park, The (1997)"
684,1545,Ponette (1996)
685,1547,Shiloh (1997)
686,1549,Rough Magic (1995)
687,1551,Buddy (1997)
688,1552,Con Air (1997)
689,1554,"Pillow Book, The (1996)"
690,1562,Batman & Robin (1997)
691,1564,For Roseanna (Roseanna's Grave) (1997)
692,1566,Hercules (1997)
693,1572,"Contempt (Mépris, Le) (1963)"
694,1573,Face/Off (1997)
695,1582,Wild America (1997)
696,1584,Contact (1997)
697,1586,G.I. Jane (1997)
698,1587,Conan the Barbarian (1982)
699,1589,Cop Land (1997)
700,1591,Spawn (1997)
701,1594,In the Company of Men (1997)
702,1596,Career Girls (1997)
703,1597,Conspiracy Theory (1997)
704,1598,Desperate Measures (1998)
705,1600,She's So Lovely (1997)
706,1601,Hoodlum (1997)
707,1605,Excess Baggage (1997)
708,1606,Kull the Conqueror (1997)
709,1609,187 (One Eight Seven) (1997)
710,1610,"Hunt for Red October, The (1990)"
711,1611,My Own Private Idaho (1991)
712,1613,Star Maps (1997)
713,1615,"Edge, The (1997)"
714,1619,Seven Years in Tibet (1997)
715,1620,Kiss the Girls (1997)
716,1621,Soul Food (1997)
717,1624,"Thousand Acres, A (1997)"
718,1625,"Game, The (1997)"
719,1626,Fire Down Below (1997)
720,1627,U Turn (1997)
721,1633,Ulee's Gold (1997)
722,1635,"Ice Storm, The (1997)"
723,1639,Chasing Amy (1997)
724,1641,"Full Monty, The (1997)"
725,1642,Indian Summer (a.k.a. Alive & Kicking) (1996)
726,1643,"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)"
727,1645,The Devil's Advocate (1997)
728,1647,Playing God (1997)
729,1648,"House of Yes, The (1997)"
730,1650,Washington Square (1997)
731,1653,Gattaca (1997)
732,1654,FairyTale: A True Story (1997)
733,1655,Phantoms (1998)
734,1656,Swept from the Sea (1997)
735,1659,Hurricane Streets (1997)
736,1660,Eve's Bayou (1997)
737,1667,Mad City (1997)
738,1670,Welcome to Sarajevo (1997)
739,1671,Deceiver (1997)
740,1672,"Rainmaker, The (1997)"
741,1673,Boogie Nights (1997)
742,1674,Witness (1985)
743,1677,Critical Care (1997)
744,1678,"Joy Luck Club, The (1993)"
