"movieId","title"
"265","Like Water for Chocolate (Como agua para chocolate) (1992)"
"266","Legends of the Fall (1994)"
"269","My Crazy Life (Mi vida loca) (1993)"
"270","Love Affair (1994)"
"271","Losing Isaiah (1995)"
"272","Madness of King George, The (1994)"
"273","Mary Shelley's Frankenstein (Frankenstein) (1994)"
"277","Miracle on 34th Street (1994)"
"279","My Family (1995)"
"280","Murder in the First (1995)"
"281","Nobody's Fool (1994)"
"282","Nell (1994)"
"283","New Jersey Drive (1995)"
"285","Beyond Bedlam (1993)"
"290","Once Were Warriors (1994)"
"291","Poison Ivy II (1996)"
"292","Outbreak (1995)"
"293","Léon: The Professional (a.k.a. The Professional) (Léon) (1994)"
"296","Pulp Fiction (1994)"
"298","Pushing Hands (Tui shou) (1992)"
"299","Priest (1994)"
"300","Quiz Show (1994)"
"301","Picture Bride (Bijo photo) (1994)"
"302","Queen Margot (Reine Margot, La) (1994)"
"304","Roommates (1995)"
"306","Three Colors: Red (Trois couleurs: Rouge) (1994)"
"307","Three Colors: Blue (Trois couleurs: Bleu) (1993)"
"308","Three Colors: White (Trzy kolory: Bialy) (1994)"
"314","Secret of Roan Inish, The (1994)"
"315","Specialist, The (1994)"
"316","Stargate (1994)"
"317","Santa Clause, The (1994)"
"318","Shawshank Redemption, The (1994)"
"319","Shallow Grave (1994)"
"321","Strawberry and Chocolate (Fresa y chocolate) (1993)"
"322","Swimming with Sharks (1995)"
"324","Sum of Us, The (1994)"
"326","To Live (Huozhe) (1994)"
"329","Star Trek: Generations (1994)"
"331","Tom & Viv (1994)"
"334","Vanya on 42nd Street (1994)"
"336","Walking Dead, The (1995)"
"337","What's Eating Gilbert Grape (1993)"
"340","War, The (1994)"
"341","Double Happiness (1994)"
"345","Adventures of Priscilla, Queen of the Desert, The (1994)"
"346","Backbeat (1993)"
"347","Bitter Moon (1992)"
"349","Clear and Present Danger (1994)"
"350","Client, The (1994)"
"351","Corrina, Corrina (1994)"
"352","Crooklyn (1994)"
"354","Cobb (1994)"
"356","Forrest Gump (1994)"
"358","Higher Learning (1995)"
"359","I Like It Like That (1994)"
"361","It Could Happen to You (1994)"
"362","Jungle Book, The (1994)"
"364","Lion King, The (1994)"
"365","Little Buddha (1993)"
"366","Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
"368","Maverick (1994)"
"369","Mrs. Parker and the Vicious Circle (1994)"
"371","Paper, The (1994)"
"372","Reality Bites (1994)"
"380","True Lies (1994)"
"381","When a Man Loves a Woman (1994)"
"382","Wolf (1994)"
"384","Bad Company (1995)"
"385","Man of No Importance, A (1994)"
"386","S.F.W. (1994)"
"388","Boys Life (1995)"
"389","Colonel Chabert, Le (1994)"
"390","Faster Pussycat! Kill! Kill! (1965)"
"391","Jason's Lyric (1994)"
"393","Street Fighter (1994)"
"406","Federal Hill (1994)"
"408","8 Seconds (1994)"
"409","Above the Rim (1994)"
"412","Age of Innocence, The (1993)"
"418","Being Human (1993)"
"421","Black Beauty (1994)"
"424","Blue Chips (1994)"
"425","Blue Sky (1994)"
"427","Boxing Helena (1993)"
"428","Bronx Tale, A (1993)"
"430","Calendar Girl (1993)"
"431","Carlito's Way (1993)"
"432","City Slickers II: The Legend of Curly's Gold (1994)"
"434","Cliffhanger (1993)"
"436","Color of Night (1994)"
"438","Cowboy Way, The (1994)"
"442","Demolition Man (1993)"
"446","Farewell My Concubine (Ba wang bie ji) (1993)"
"448","Fearless (1993)"
"450","With Honors (1994)"
"451","Flesh and Bone (1993)"
"452","Widows' Peak (1994)"
"454","Firm, The (1993)"
"455","Free Willy (1993)"
"456","Fresh (1994)"
"458","Geronimo: An American Legend (1993)"
"459","Getaway, The (1994)"
"461","Go Fish (1994)"
"464","Hard Target (1993)"
"469","House of the Spirits, The (1993)"
"472","I'll Do Anything (1994)"
"475","In the Name of the Father (1993)"
"476","Inkwell, The (1994)"
"477","What's Love Got to Do with It? (1993)"
"478","Jimmy Hollywood (1994)"
"480","Jurassic Park (1993)"
"481","Kalifornia (1993)"
"482","Killing Zoe (1994)"
"484","Lassie (1994)"
"485","Last Action Hero (1993)"
"488","M. Butterfly (1993)"
"491","Man Without a Face, The (1993)"
"493","Menace II Society (1993)"
"494","Executive Decision (1996)"
"495","In the Realm of the Senses (Ai no corrida) (1976)"
"496","What Happened Was... (1994)"
"500","Mrs. Doubtfire (1993)"
"501","Naked (1993)"
"504","No Escape (1994)"
"506","Orlando (1992)"
"507","Perfect World, A (1993)"
"508","Philadelphia (1993)"
"509","Piano, The (1993)"
"510","Poetic Justice (1993)"
"511","Program, The (1993)"
"515","Remains of the Day, The (1993)"
"516","Renaissance Man (1994)"
"517","Rising Sun (1993)"
"519","RoboCop 3 (1993)"
"522","Romper Stomper (1992)"
"523","Ruby in Paradise (1993)"
"524","Rudy (1993)"
"526","Savage Nights (Nuits fauves, Les) (1992)"
"527","Schindler's List (1993)"
"528","Scout, The (1994)"
"529","Searching for Bobby Fischer (1993)"
"531","Secret Garden, The (1993)"
"533","Shadow, The (1994)"
"534","Shadowlands (1993)"
"535","Short Cuts (1993)"
"536","Simple Twist of Fate, A (1994)"
"537","Sirens (1994)"
"538","Six Degrees of Separation (1993)"
"539","Sleepless in Seattle (1993)"
"542","Son in Law (1993)"
"546","Super Mario Bros. (1993)"
"547","Surviving the Game (1994)"
"549","Thirty-Two Short Films About Glenn Gould (1993)"
"552","Three Musketeers, The (1993)"
"553","Tombstone (1993)"
"558","Pagemaster, The (1994)"
"562","Welcome to the Dollhouse (1995)"
"563","Germinal (1993)"
"567","Kika (1993)"
"568","Bhaji on the Beach (1993)"
"569","Little Big League (1994)"
"573","Ciao, Professore! (Io speriamo che me la cavo) (1992)"
"574","Spanking the Monkey (1994)"
"577","Andre (1994)"
"580","Princess Caraboo (1994)"
"583","Dear Diary (Caro Diario) (1994)"
"587","Ghost (1990)"
"588","Aladdin (1992)"
"590","Dances with Wolves (1990)"
"594","Snow White and the Seven Dwarfs (1937)"
"595","Beauty and the Beast (1991)"
"599","Wild Bunch, The (1969)"
"605","One Fine Day (1996)"
"608","Fargo (1996)"
"609","Homeward Bound II: Lost in San Francisco (1996)"
"610","Heavy Metal (1981)"
"613","Jane Eyre (1996)"
"615","Bread and Chocolate (Pane e cioccolata) (1973)"
"617","Flower of My Secret, The (La flor de mi secreto) (1995)"
"627","Last Supper, The (1995)"
"628","Primal Fear (1996)"
"631","All Dogs Go to Heaven 2 (1996)"
"632","Land and Freedom (Tierra y libertad) (1995)"
"635","Family Thing, A (1996)"
"636","Frisk (1995)"
"639","Girl 6 (1996)"
"640","Diabolique (1996)"
"645","Nelly & Monsieur Arnaud (1995)"
"647","Courage Under Fire (1996)"
"648","Mission: Impossible (1996)"
"649","Cold Fever (Á köldum klaka) (1995)"
"650","Moll Flanders (1996)"
"653","Dragonheart (1996)"
"661","James and the Giant Peach (1996)"
"665","Underground (1995)"
"668","Song of the Little Road (Pather Panchali) (1955)"
"670","World of Apu, The (Apur Sansar) (1959)"
"673","Space Jam (1996)"
"674","Barbarella (1968)"
"678","Some Folks Call It a Sling Blade (1993)"
"679","Run of the Country, The (1995)"
"680","Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
"685","It's My Party (1996)"
"688","Operation Dumbo Drop (1995)"
"694","Substitute, The (1996)"
"697","Feeling Minnesota (1996)"
"698","Delta of Venus (1995)"
"703","Boys (1996)"
"704","Quest, The (1996)"
"706","Sunset Park (1996)"
"707","Mulholland Falls (1996)"
"709","Oliver & Company (1988)"
"711","Flipper (1996)"
"714","Dead Man (1995)"
"715","Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
"720","Wallace & Gromit: The Best of Aardman Animation (1996)"
"724","Craft, The (1996)"
"726","Last Dance (1996)"
"733","Rock, The (1996)"
"736","Twister (1996)"
"757","Ashes of Time (Dung che sai duk) (1994)"
"760","Stalingrad (1993)"
"761","Phantom, The (1996)"
"764","Heavy (1995)"
"765","Jack (1996)"
"766","I Shot Andy Warhol (1996)"
"773","Touki Bouki (1973)"
"778","Trainspotting (1996)"
"779","'Til There Was You (1997)"
"780","Independence Day (a.k.a. ID4) (1996)"
"781","Stealing Beauty (1996)"
"782","Fan, The (1996)"
"783","Hunchback of Notre Dame, The (1996)"
"786","Eraser (1996)"
"790","Unforgettable Summer, An (Un été inoubliable) (1994)"
"795","Somebody to Love (1994)"
"798","Daylight (1996)"
"800","Lone Star (1996)"
"802","Phenomenon (1996)"
"803","Walking and Talking (1996)"
"805","Time to Kill, A (1996)"
"808","Alaska (1996)"
"809","Fled (1996)"
"823","Collector, The (La collectionneuse) (1967)"
"824","Kaspar Hauser (1993)"
"828","Adventures of Pinocchio, The (1996)"
"835","Foxfire (1996)"
"836","Chain Reaction (1996)"
"838","Emma (1996)"
"848","Spitfire Grill, The (1996)"
"849","Escape from L.A. (1996)"
"851","Basquiat (1996)"
"852","Tin Cup (1996)"
"858","Godfather, The (1972)"
"866","Bound (1996)"
"869","Kansas City (1996)"
"875","Nothing to Lose (1994)"
"882","Trigger Effect, The (1996)"
"885","Bogus (1996)"
"888","Land Before Time III: The Time of the Great Giving (1995)"
"889","1-900 (06) (1994)"
"892","Twelfth Night (1996)"
"893","Mother Night (1996)"
"896","Wild Reeds (Les roseaux sauvages) (1994)"
"897","For Whom the Bell Tolls (1943)"
"898","Philadelphia Story, The (1940)"
"902","Breakfast at Tiffany's (1961)"
"903","Vertigo (1958)"
"906","Gaslight (1944)"
"908","North by Northwest (1959)"
"909","Apartment, The (1960)"
"912","Casablanca (1942)"
"914","My Fair Lady (1964)"
"916","Roman Holiday (1953)"
"917","Little Princess, The (1939)"
"919","Wizard of Oz, The (1939)"
"920","Gone with the Wind (1939)"
"922","Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)"
"923","Citizen Kane (1941)"
"924","2001: A Space Odyssey (1968)"
"926","All About Eve (1950)"
"928","Rebecca (1940)"
"929","Foreign Correspondent (1940)"
"932","Affair to Remember, An (1957)"
"940","Adventures of Robin Hood, The (1938)"
"941","Mark of Zorro, The (1940)"
"943","Ghost and Mrs. Muir, The (1947)"
"944","Lost Horizon (1937)"
"946","To Be or Not to Be (1942)"
"948","Giant (1956)"
"949","East of Eden (1955)"
"952","Around the World in 80 Days (1956)"
"953","It's a Wonderful Life (1946)"
"954","Mr. Smith Goes to Washington (1939)"
"956","Penny Serenade (1941)"
"959","Of Human Bondage (1934)"
"961","Little Lord Fauntleroy (1936)"
"965","39 Steps, The (1935)"
"969","African Queen, The (1951)"
"970","Beat the Devil (1953)"
"971","Cat on a Hot Tin Roof (1958)"
"973","Meet John Doe (1941)"
"979","Nothing Personal (1995)"
"981","Dangerous Ground (1997)"
"982","Picnic (1955)"
"984","Pompatus of Love, The (1996)"
"986","Fly Away Home (1996)"
"987","Bliss (1997)"
"988","Grace of My Heart (1996)"
"990","Maximum Risk (1996)"
"991","Michael Collins (1996)"
"993","Infinity (1996)"
"994","Big Night (1996)"
"996","Last Man Standing (1996)"
"1003","Extreme Measures (1996)"
"1006","Chamber, The (1996)"
"1008","Davy Crockett, King of the Wild Frontier (1955)"
"1009","Escape to Witch Mountain (1975)"
"1012","Old Yeller (1957)"
"1014","Pollyanna (1960)"
"1015","Homeward Bound: The Incredible Journey (1993)"
"1017","Swiss Family Robinson (1960)"
"1019","20,000 Leagues Under the Sea (1954)"
"1027","Robin Hood: Prince of Thieves (1991)"
"1029","Dumbo (1941)"
"1030","Pete's Dragon (1977)"
"1031","Bedknobs and Broomsticks (1971)"
"1032","Alice in Wonderland (1951)"
"1033","Fox and the Hound, The (1981)"
"1034","Freeway (1996)"
"1040","Secret Agent, The (1996)"
"1041","Secrets & Lies (1996)"
"1042","That Thing You Do! (1996)"
"1043","To Gillian on Her 37th Birthday (1996)"
"1046","Beautiful Thing (1996)"
"1047","Long Kiss Goodnight, The (1996)"
"1049","Ghost and the Darkness, The (1996)"
"1050","Looking for Richard (1996)"
"1051","Trees Lounge (1996)"
"1053","Normal Life (1996)"
"1054","Get on the Bus (1996)"
"1056","Jude (1996)"
"1059","William Shakespeare's Romeo + Juliet (1996)"
"1060","Swingers (1996)"
"1082","Candidate, The (1972)"
"1084","Bonnie and Clyde (1967)"
"1085","Old Man and the Sea, The (1958)"
"1088","Dirty Dancing (1987)"
"1090","Platoon (1986)"
"1093","Doors, The (1991)"
"1094","Crying Game, The (1992)"
"1095","Glengarry Glen Ross (1992)"
"1096","Sophie's Choice (1982)"
"1097","E.T. the Extra-Terrestrial (1982)"
"1099","Christmas Carol, A (1938)"
"1100","Days of Thunder (1990)"
"1103","Rebel Without a Cause (1955)"
"1104","Streetcar Named Desire, A (1951)"
"1112","Palookaville (1996)"
"1114","Funeral, The (1996)"
"1116","Single Girl, A (Fille seule, La) (1995)"
"1117","Eighth Day, The (Huitième jour, Le) (1996)"
"1119","Drunks (1995)"
"1120","People vs. Larry Flynt, The (1996)"
"1121","Glory Daze (1995)"
"1124","On Golden Pond (1981)"
"1127","Abyss, The (1989)"
"1129","Escape from New York (1981)"
"1131","Jean de Florette (1986)"
"1132","Manon of the Spring (Manon des sources) (1986)"
"1136","Monty Python and the Holy Grail (1975)"
"1140","Entertaining Angels: The Dorothy Day Story (1996)"
"1150","Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)"
"1151","Lesson Faust (1994)"
"1156","Children Are Watching Us, The (Bambini ci guardano, I) (1944)"
"1161","Tin Drum, The (Blechtrommel, Die) (1979)"
"1162","Ruling Class, The (1972)"
"1163","Mina Tannenbaum (1994)"
"1172","Cinema Paradiso (Nuovo cinema Paradiso) (1989)"
"1173","Cook the Thief His Wife & Her Lover, The (1989)"
"1175","Delicatessen (1991)"
"1176","Double Life of Veronique, The (Double Vie de Véronique, La) (1991)"
"1177","Enchanted April (1992)"
"1178","Paths of Glory (1957)"
"1179","Grifters, The (1990)"
"1183","English Patient, The (1996)"
"1184","Mediterraneo (1991)"
"1185","My Left Foot (1989)"
"1186","Sex, Lies, and Videotape (1989)"
"1187","Passion Fish (1992)"
"1190","Tie Me Up! Tie Me Down! (¡Átame!) (1990)"
"1193","One Flew Over the Cuckoo's Nest (1975)"
"1196","Star Wars: Episode V - The Empire Strikes Back (1980)"
"1197","Princess Bride, The (1987)"
"1198","Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"
"1200","Aliens (1986)"
"1201","Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
"1203","12 Angry Men (1957)"
"1204","Lawrence of Arabia (1962)"
"1206","Clockwork Orange, A (1971)"
"1207","To Kill a Mockingbird (1962)"
"1208","Apocalypse Now (1979)"
"1209","Once Upon a Time in the West (C'era una volta il West) (1968)"
"1210","Star Wars: Episode VI - Return of the Jedi (1983)"
"1211","Wings of Desire (Himmel über Berlin, Der) (1987)"
"1213","Goodfellas (1990)"
"1215","Army of Darkness (1993)"
"1216","Big Blue, The (Grand bleu, Le) (1988)"
"1217","Ran (1985)"
"1218","Killer, The (Die xue shuang xiong) (1989)"
"1221","Godfather: Part II, The (1974)"
"1222","Full Metal Jacket (1987)"
"1223","Grand Day Out with Wallace and Gromit, A (1989)"
"1224","Henry V (1989)"
"1225","Amadeus (1984)"
"1226","Quiet Man, The (1952)"
"1227","Once Upon a Time in America (1984)"
"1228","Raging Bull (1980)"
"1231","Right Stuff, The (1983)"
"1232","Stalker (1979)"
"1233","Boot, Das (Boat, The) (1981)"
"1235","Harold and Maude (1971)"
"1236","Trust (1990)"
"1237","Seventh Seal, The (Sjunde inseglet, Det) (1957)"
"1242","Glory (1989)"
"1243","Rosencrantz and Guildenstern Are Dead (1990)"
"1244","Manhattan (1979)"
"1245","Miller's Crossing (1990)"
"1246","Dead Poets Society (1989)"
"1247","Graduate, The (1967)"
"1250","Bridge on the River Kwai, The (1957)"
"1251","8 1/2 (8½) (1963)"
"1253","Day the Earth Stood Still, The (1951)"
"1254","Treasure of the Sierra Madre, The (1948)"
"1259","Stand by Me (1986)"
"1262","Great Escape, The (1963)"
"1263","Deer Hunter, The (1978)"
"1264","Diva (1981)"
"1266","Unforgiven (1992)"
"1268","Pump Up the Volume (1990)"
"1270","Back to the Future (1985)"
"1271","Fried Green Tomatoes (1991)"
"1272","Patton (1970)"
"1273","Down by Law (1986)"
"1274","Akira (1988)"
"1275","Highlander (1986)"
"1276","Cool Hand Luke (1967)"
"1277","Cyrano de Bergerac (1990)"
"1279","Night on Earth (1991)"
"1280","Raise the Red Lantern (Da hong deng long gao gao gua) (1991)"
"1281","Great Dictator, The (1940)"
"1283","High Noon (1952)"
"1286","Somewhere in Time (1980)"
"1287","Ben-Hur (1959)"
"1290","Some Kind of Wonderful (1987)"
"1291","Indiana Jones and the Last Crusade (1989)"
"1292","Being There (1979)"
"1293","Gandhi (1982)"
"1295","Unbearable Lightness of Being, The (1988)"
"1296","Room with a View, A (1986)"
"1298","Pink Floyd: The Wall (1982)"
"1299","Killing Fields, The (1984)"
"1300","My Life as a Dog (Mitt liv som hund) (1985)"
"1301","Forbidden Planet (1956)"
"1302","Field of Dreams (1989)"
"1303","Man Who Would Be King, The (1975)"
"1305","Paris, Texas (1984)"
"1306","Until the End of the World (Bis ans Ende der Welt) (1991)"
"1312","Female Perversions (1996)"
"1318","Blue Juice (1995)"
"1327","Amityville Horror, The (1979)"
"1337","Body Snatcher, The (1945)"
"1340","Bride of Frankenstein, The (Bride of Frankenstein) (1935)"
"1344","Cape Fear (1962)"
"1345","Carrie (1976)"
"1346","Cat People (1982)"
"1351","Blood and Wine (Blood & Wine) (1996)"
"1353","Mirror Has Two Faces, The (1996)"
"1354","Breaking the Waves (1996)"
"1356","Star Trek: First Contact (1996)"
"1357","Shine (1996)"
"1358","Sling Blade (1996)"
"1363","Preacher's Wife, The (1996)"
"1365","Ridicule (1996)"
"1366","Crucible, The (1996)"
"1367","101 Dalmatians (1996)"
"1370","Die Hard 2 (1990)"
"1371","Star Trek: The Motion Picture (1979)"
"1374","Star Trek II: The Wrath of Khan (1982)"
"1375","Star Trek III: The Search for Spock (1984)"
"1376","Star Trek IV: The Voyage Home (1986)"
"1382","Marked for Death (1990)"
"1385","Under Siege (1992)"
"1392","Citizen Ruth (1996)"
"1393","Jerry Maguire (1996)"
"1395","Tin Men (1987)"
"1396","Sneakers (1992)"
"1397","Bastard Out of Carolina (1996)"
"1399","Marvin's Room (1996)"
"1401","Ghosts of Mississippi (1996)"
"1405","Beavis and Butt-Head Do America (1996)"
"1406","La Cérémonie (1995)"
"1409","Michael (1996)"
"1411","Hamlet (1996)"
"1412","Some Mother's Son (1996)"
"1413","Whole Wide World, The (1996)"
"1415","Thieves (Voleurs, Les) (1996)"
"1416","Evita (1996)"
"1417","Portrait of a Lady, The (1996)"
"1419","Walkabout (1971)"
"1422","Murder at 1600 (1997)"
"1423","Hearts and Minds (1996)"
"1428","Angel Baby (1995)"
"1429","First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996)"
"1432","Metro (1997)"
"1437","Cement Garden, The (1993)"
"1442","Prefontaine (1997)"
"1446","Kolya (Kolja) (1996)"
"1454","SubUrbia (1997)"
"1457","Fools Rush In (1997)"
"1458","Touch (1997)"
"1464","Lost Highway (1997)"
"1465","Rosewood (1997)"
"1466","Donnie Brasco (1997)"
"1473","Best Men (1997)"
"1476","Private Parts (1997)"
"1480","Smilla's Sense of Snow (1997)"
"1483","Crash (1996)"
"1484","Daytrippers, The (1996)"
"1487","Selena (1997)"
"1488","Devil's Own, The (1997)"
"1495","Turbo: A Power Rangers Movie (1997)"
"1496","Anna Karenina (1997)"
"1498","Inventing the Abbotts (1997)"
"1499","Anaconda (1997)"
"1502","Kissed (1996)"
"1507","Paradise Road (1997)"
"1515","Volcano (1997)"
"1517","Austin Powers: International Man of Mystery (1997)"
"1519","Broken English (1996)"
"1527","Fifth Element, The (1997)"
"1529","Nowhere (1997)"
"1533","Promise, The (La promesse) (1996)"
"1537","Shall We Dance? (Shall We Dansu?) (1996)"
"1542","Brassed Off (1996)"
"1544","Lost World: Jurassic Park, The (1997)"
"1545","Ponette (1996)"
"1547","Shiloh (1997)"
"1549","Rough Magic (1995)"
"1551","Buddy (1997)"
"1552","Con Air (1997)"
"1554","Pillow Book, The (1996)"
"1562","Batman & Robin (1997)"
"1564","For Roseanna (Roseanna's Grave) (1997)"
"1566","Hercules (1997)"
"1572","Contempt (Mépris, Le) (1963)"
"1573","Face/Off (1997)"
"1582","Wild America (1997)"
"1584","Contact (1997)"
"1586","G.I. Jane (1997)"
"1587","Conan the Barbarian (1982)"
"1589","Cop Land (1997)"
"1591","Spawn (1997)"
"1594","In the Company of Men (1997)"
"1596","Career Girls (1997)"
"1597","Conspiracy Theory (1997)"
"1598","Desperate Measures (1998)"
"1600","She's So Lovely (1997)"
"1601","Hoodlum (1997)"
"1605","Excess Baggage (1997)"
"1606","Kull the Conqueror (1997)"
"1609","187 (One Eight Seven) (1997)"
"1610","Hunt for Red October, The (1990)"
"1611","My Own Private Idaho (1991)"
"1613","Star Maps (1997)"
"1615","Edge, The (1997)"
"1619","Seven Years in Tibet (1997)"
"1620","Kiss the Girls (1997)"
"1621","Soul Food (1997)"
"1624","Thousand Acres, A (1997)"
"1625","Game, The (1997)"
"1626","Fire Down Below (1997)"
"1627","U Turn (1997)"
"1633","Ulee's Gold (1997)"
"1635","Ice Storm, The (1997)"
"1639","Chasing Amy (1997)"
"1641","Full Monty, The (1997)"
"1642","Indian Summer (a.k.a. Alive & Kicking) (1996)"
"1643","Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)"
"1645","The Devil's Advocate (1997)"
"1647","Playing God (1997)"
"1648","House of Yes, The (1997)"
"1650","Washington Square (1997)"
"1653","Gattaca (1997)"
"1654","FairyTale: A True Story (1997)"
"1655","Phantoms (1998)"
"1656","Swept from the Sea (1997)"
"1659","Hurricane Streets (1997)"
"1660","Eve's Bayou (1997)"
"1667","Mad City (1997)"
"1670","Welcome to Sarajevo (1997)"
"1671","Deceiver (1997)"
"1672","Rainmaker, The (1997)"
"1673","Boogie Nights (1997)"
"1674","Witness (1985)"
"1677","Critical Care (1997)"
"1678","Joy Luck Club, The (1993)"
"1680","Sliding Doors (1998)"
"1681","Mortal Kombat: Annihilation (1997)"
"1682","Truman Show, The (1998)"
"1683","Wings of the Dove, The (1997)"
"1684","Mrs. Dalloway (1997)"
"1685","I Love You, I Love You Not (1996)"
"1688","Anastasia (1997)"
"1693","Amistad (1997)"
"1694","Apostle, The (1997)"
"1695","Artemisia (1997)"
"1696","Bent (1997)"
"1699","Butcher Boy, The (1997)"
"1701","Deconstructing Harry (1997)"
"1704","Good Will Hunting (1997)"
"1711","Midnight in the Garden of Good and Evil (1997)"
"1719","Sweet Hereafter, The (1997)"
"1721","Titanic (1997)"
"1722","Tomorrow Never Dies (1997)"
"1726","Postman, The (1997)"
